,HexColor,ColorOrder,Kingdom,Phylum,Class,Order,Family,Genus,PFG
2382,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotellaceae UCG-001,Bacteroidetes Prevotellaceae Prevotellaceae UCG-001
2384,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,GCA-900066225,Firmicutes Ruminococcaceae GCA-900066225
2404,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,ASF356,Firmicutes Lachnospiraceae ASF356
2415,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Microbacteriaceae,Mycetocola,Actinobacteria Microbacteriaceae Mycetocola
2439,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Lachnospiraceae,CAG-56,Firmicutes Lachnospiraceae CAG-56
2445,#D0D0D0,189,Bacteria,Actinobacteria,Coriobacteriia,Coriobacteriales,Eggerthellaceae,Parvibacter,Actinobacteria Eggerthellaceae Parvibacter
2449,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Ruminococcaceae,Ruminococcaceae UCG-009,Firmicutes Ruminococcaceae Ruminococcaceae UCG-009
2464,#918075,21,Bacteria,Firmicutes,Clostridia,Clostridiales,Family XI,W5053,Firmicutes Family XI W5053
2466,#D0D0D0,189,Bacteria,Actinobacteria,Actinobacteria,Micrococcales,Micrococcaceae,Micrococcus,Actinobacteria Micrococcaceae Micrococcus
2544,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Hydrotalea,Bacteroidetes Chitinophagaceae Hydrotalea
2546,#1EFEF2,63,Bacteria,Bacteroidetes,Bacteroidia,Chitinophagales,Chitinophagaceae,Lacibacter,Bacteroidetes Chitinophagaceae Lacibacter
2547,#F83333,210,Bacteria,Proteobacteria,Gammaproteobacteria,Betaproteobacteriales,Burkholderiaceae,Schlegelella,Proteobacteria Burkholderiaceae Schlegelella
